순위,키워드,카테고리,검색수요(추정),경쟁(추정),제작난이도,수익모델,가성비점수
26,주식 평단가 계산기,예금/적금/투자,높음,보통,쉬움,은행제휴,14
27,주식 양도소득세 계산기,예금/적금/투자,중간,낮음,쉬움,은행제휴,14
28,출산 예정일 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
29,배란일 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
30,임신 주수 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
31,생리주기 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
32,임신 가능성 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
33,태아 몸무게 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
34,수유량 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
35,이유식 양 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
36,아기 개월수 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
37,예방접종 시기 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
38,분유 수유 간격 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
39,육아휴직 급여 계산기(임신),임신/육아,중간,낮음,쉬움,육아제휴,14
40,아동수당 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
41,부모급여 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
42,어린이집 보육료 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
43,산후조리원 비용 계산기,임신/육아,높음,보통,쉬움,육아제휴,14
44,태몽 디데이,임신/육아,높음,보통,쉬움,육아제휴,14
45,청약 가점 계산기,주택청약,중간,낮음,보통,부동산제휴,14
46,청약통장 납입 인정금액 계산기,주택청약,중간,낮음,보통,부동산제휴,14
47,청약 당첨 확률 계산기,주택청약,중간,낮음,보통,부동산제휴,14
48,특별공급 자격 계산기,주택청약,중간,낮음,보통,부동산제휴,14
49,분양가 상한제 계산기,주택청약,중간,낮음,보통,부동산제휴,14
50,중도금 대출 계산기,주택청약,중간,낮음,보통,부동산제휴,14
51,신혼희망타운 소득 계산기,주택청약,중간,낮음,보통,부동산제휴,14
52,생애최초 특공 자격 계산기,주택청약,중간,낮음,보통,부동산제휴,14
53,전매제한 기간 계산기,주택청약,중간,낮음,보통,부동산제휴,14
54,분양권 전매 양도세 계산기,주택청약,중간,낮음,보통,부동산제휴,14
55,청약 예치금 계산기,주택청약,중간,낮음,보통,부동산제휴,14
56,무순위 줍줍 자격 계산기,주택청약,중간,낮음,보통,부동산제휴,14
57,학점 계산기,학업/교육,높음,보통,쉬움,교육제휴,14
58,축의금 계산기,결혼/경조사,높음,보통,쉬움,광고,13
59,군 월급 계산기,군대/공무원,중간,낮음,쉬움,광고,13
60,군적금 만기 계산기,군대/공무원,중간,낮음,쉬움,광고,13
61,장병내일준비적금 계산기,군대/공무원,중간,낮음,쉬움,광고,13
62,호봉 계산기,군대/공무원,중간,낮음,쉬움,광고,13
63,공무원 연금 수령액 계산기,군대/공무원,중간,낮음,쉬움,광고,13
64,공무원 봉급 계산기,군대/공무원,중간,낮음,쉬움,광고,13
65,군 휴가 일수 계산기,군대/공무원,중간,낮음,쉬움,광고,13
66,예비군 동원 계산기,군대/공무원,중간,낮음,쉬움,광고,13
67,공무원 명예퇴직금 계산기,군대/공무원,중간,낮음,쉬움,광고,13
68,군 복무 디데이,군대/공무원,중간,낮음,쉬움,광고,13
69,진급 예정일 계산기,군대/공무원,중간,낮음,쉬움,광고,13
70,연봉 실수령액 계산기,급여/노무,매우높음,높음,보통,광고/채용제휴,13
71,퇴직금 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
72,주휴수당 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
73,시급 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
74,실업급여 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
75,연차수당 계산기,급여/노무,중간,낮음,보통,광고/채용제휴,13
76,통상임금 계산기,급여/노무,중간,낮음,보통,광고/채용제휴,13
77,야간수당 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
78,연장근로수당 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
79,최저임금 계산기,급여/노무,중간,낮음,보통,광고/채용제휴,13
80,4대보험 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
81,국민연금 예상수령액 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
82,건강보험료 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
83,사업소득 세금 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
84,퇴직소득세 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
85,육아기 근로시간 단축 급여 계산기,급여/노무,중간,낮음,보통,광고/채용제휴,13
86,출산휴가 급여 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
87,실수령액 역계산기(세전 연봉),급여/노무,높음,보통,보통,광고/채용제휴,13
88,주 52시간 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
89,근속연수 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
90,연봉 협상 인상률 계산기,급여/노무,높음,보통,보통,광고/채용제휴,13
91,만 나이 계산기,날짜/시간,매우높음,높음,쉬움,광고,13
92,등기 비용 계산기,부동산/세금,중간,낮음,어려움,부동산제휴,13
93,백분율 계산기,수학/공학,높음,보통,쉬움,광고,13
94,퍼센트 계산기,수학/공학,높음,보통,쉬움,광고,13
95,연말정산 환급금 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
96,연말정산 미리보기 계산기,연말정산,중간,낮음,어려움,광고/금융제휴,13
97,신용카드 소득공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
98,의료비 세액공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
99,월세 세액공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
100,교육비 공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
101,기부금 세액공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
102,연금저축 세액공제 계산기(연말정산),연말정산,높음,보통,어려움,광고/금융제휴,13
103,보험료 공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
104,주택청약 소득공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
105,부양가족 공제 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
106,13월의 월급 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
107,맞벌이 부부 절세 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
108,중소기업 취업자 감면 계산기,연말정산,높음,보통,어려움,광고/금융제휴,13
109,자동차세 계산기,자동차,높음,보통,보통,자동차제휴,13
110,기초대사량 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
111,칼로리 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
112,표준체중 계산기,건강/다이어트,중간,보통,쉬움,건강제휴,12
113,체지방률 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
114,단백질 섭취량 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
115,하루 권장 칼로리 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
116,다이어트 목표 칼로리 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
117,BMR 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
118,음주 칼로리 계산기,건강/다이어트,낮음,낮음,쉬움,건강제휴,12
119,운동 소모 칼로리 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
120,물 섭취량 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
121,수면 시간 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
122,심박수 존 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
123,임신 체중 증가 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
124,당뇨 혈당 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
125,키 예측 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
126,비만도 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
127,허리둘레 비율 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
128,카페인 섭취량 계산기,건강/다이어트,높음,높음,쉬움,건강제휴,12
129,원금균등상환 계산기,대출/금융,중간,보통,보통,대출제휴,12
130,전세자금대출 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
131,주택담보대출 계산기,대출/금융,높음,높음,보통,대출제휴,12
132,신용대출 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
133,자동차 할부 계산기,대출/금융,높음,높음,보통,대출제휴,12
134,마이너스통장 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
135,사업자대출 한도 계산기,대출/금융,높음,높음,보통,대출제휴,12
136,DTI 계산기,대출/금융,중간,보통,보통,대출제휴,12
137,LTV 계산기,대출/금융,중간,보통,보통,대출제휴,12
138,대출 갈아타기 계산기,대출/금융,높음,높음,보통,대출제휴,12
139,거치기간 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
140,역모기지 연금 계산기,대출/금융,높음,높음,보통,대출제휴,12
141,카드론 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
142,리볼빙 이자 계산기,대출/금융,높음,높음,보통,대출제휴,12
143,강아지 사람나이 변환,반려동물,중간,보통,쉬움,펫제휴,12
144,반려견 사료 급여량 계산기,반려동물,중간,보통,쉬움,펫제휴,12
145,강아지 칼로리 계산기,반려동물,중간,보통,쉬움,펫제휴,12
146,강아지 몸무게 계산기,반려동물,중간,보통,쉬움,펫제휴,12
147,강아지 임신 출산일 계산기,반려동물,중간,보통,쉬움,펫제휴,12
148,고양이 사료량 계산기,반려동물,중간,보통,쉬움,펫제휴,12
149,펫보험료 계산기(반려),반려동물,중간,보통,쉬움,펫제휴,12
150,강아지 산책 시간 계산기,반려동물,중간,보통,쉬움,펫제휴,12
151,강아지 초콜릿 중독 계산기,반려동물,중간,보통,쉬움,펫제휴,12
152,반려동물 장례 비용 계산기,반려동물,중간,보통,쉬움,펫제휴,12
153,실손보험료 계산기,보험,중간,보통,보통,보험제휴,12
154,암보험 보험료 계산기,보험,중간,보통,보통,보험제휴,12
155,종신보험 보험료 계산기,보험,중간,보통,보통,보험제휴,12
156,태아보험 계산기,보험,중간,보통,보통,보험제휴,12
157,운전자보험 계산기,보험,중간,보통,보통,보험제휴,12
158,여행자보험 계산기,보험,중간,보통,보통,보험제휴,12
159,보험 환급금 계산기,보험,중간,보통,보통,보험제휴,12
160,4세대 실손 전환 계산기,보험,중간,보통,보통,보험제휴,12
161,연금보험 수령액 계산기,보험,중간,보통,보통,보험제휴,12
162,변액보험 수익률 계산기,보험,중간,보통,보통,보험제휴,12
163,치아보험 계산기,보험,중간,보통,보통,보험제휴,12
164,화재보험료 계산기,보험,중간,보통,보통,보험제휴,12
165,펫보험료 계산기,보험,중간,보통,보통,보험제휴,12
166,보험 비교 견적 계산기,보험,중간,보통,보통,보험제휴,12
167,사망보험금 계산기,보험,중간,보통,보통,보험제휴,12
168,실비보험 청구액 계산기,보험,중간,보통,보통,보험제휴,12
169,보험료 납입 총액 계산기,보험,중간,보통,보통,보험제휴,12
170,전세 보증보험료 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
171,월세 소득세 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
172,주택임대사업자 세금 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
173,보증금 월세 전환 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
174,임대차 계약 갱신 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
175,전세보증금 반환 이자 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
176,상가 임대료 인상률 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
177,관리비 정산 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
178,공실률 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
179,임대수익 세후 계산기,부동산 임대,중간,보통,보통,부동산제휴,12
180,전세보증금 대출 한도 계산기(임대),부동산 임대,중간,보통,보통,부동산제휴,12
181,가스요금 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
182,수도요금 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
183,택배비 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
184,배달 최소주문 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
185,더치페이 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
186,할인율 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
187,부가세 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
188,정가 할인가 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
189,팁 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
190,단위당 가격 비교 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
191,전력 사용량 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
192,에어컨 전기요금 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
193,관리비 분담 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
194,월세 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
195,공과금 분할 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
196,양도세 셀프 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
197,노령연금 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
198,전월세 계약 만기 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
199,이사 비용 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
200,도배 장판 비용 계산기,생활/유틸,중간,보통,쉬움,광고/쇼핑제휴,12
201,1RM 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
202,러닝 페이스 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
203,마라톤 기록 예측 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
204,골프 핸디캡 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
205,볼링 평균 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
206,칼로리 소모 계산기(운동),스포츠/운동,중간,보통,쉬움,건강제휴,12
207,최대심박수 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
208,수영 페이스 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
209,자전거 속도 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
210,단백질 보충제 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
211,벤치프레스 RM 환산,스포츠/운동,중간,보통,쉬움,건강제휴,12
212,체급 계산기,스포츠/운동,중간,보통,쉬움,건강제휴,12
213,식물 물주기 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
214,비료 희석 비율 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
215,수경재배 양액 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
216,텃밭 면적 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
217,화분 흙 양 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
218,커피 원두 물 비율 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
219,홈카페 시럽 비율 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
220,와인 칼로리 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
221,맥주 도수 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
222,발효 시간 계산기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
223,베이킹 단위 변환기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
224,오븐 온도 변환기,식물/생활과학,낮음,낮음,쉬움,쇼핑제휴,12
225,여행 경비 계산기,여행,중간,보통,쉬움,여행제휴,12
226,항공 마일리지 계산기,여행,중간,보통,쉬움,여행제휴,12
227,수하물 무게 계산기,여행,중간,보통,쉬움,여행제휴,12
228,여행자보험 계산기(여행),여행,중간,보통,쉬움,여행제휴,12
229,비자 체류일수 계산기,여행,중간,보통,쉬움,여행제휴,12
230,무비자 90일 계산기,여행,중간,보통,쉬움,여행제휴,12
231,환전 수수료 계산기,여행,중간,보통,쉬움,여행제휴,12
232,해외 로밍 요금 계산기,여행,중간,보통,쉬움,여행제휴,12
233,여행 더치페이 계산기,여행,중간,보통,쉬움,여행제휴,12
234,호텔 1박 분담 계산기,여행,중간,보통,쉬움,여행제휴,12
235,면세 한도 계산기,여행,중간,보통,쉬움,여행제휴,12
236,출입국 체류기간 계산기,여행,중간,보통,쉬움,여행제휴,12
237,워킹홀리데이 나이 계산기,여행,중간,보통,쉬움,여행제휴,12
238,비행 시간 계산기,여행,중간,보통,쉬움,여행제휴,12
239,적금 vs 예금 비교 계산기,예금/적금/투자,낮음,낮음,쉬움,은행제휴,12
240,단리 복리 비교 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
241,풍차돌리기 적금 계산기,예금/적금/투자,낮음,낮음,쉬움,은행제휴,12
242,72법칙 계산기,예금/적금/투자,낮음,낮음,쉬움,은행제휴,12
243,목돈 만들기 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
244,월 적립 목표 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
245,배당소득세 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
246,ISA 절세 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
247,연금저축 세액공제 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
248,IRP 세액공제 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
249,퇴직연금 수령액 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
250,물타기 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
251,코인 수익률 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
252,환율 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
253,달러 환전 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
254,복리 적금 만기 계산기,예금/적금/투자,중간,보통,쉬움,은행제휴,12
255,가임기 계산기,임신/육아,중간,보통,쉬움,육아제휴,12
256,유튜브 수익 계산기(조회수),크리에이터,중간,보통,쉬움,광고/제휴,12
257,유튜브 구독자 수익 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
258,인스타 인플루언서 단가 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
259,틱톡 수익 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
260,치지직 별풍선 정산 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
261,아프리카 별풍선 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
262,블로그 애드포스트 수익 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
263,스레드 광고 단가 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
264,릴스 조회수 수익 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
265,쿠팡파트너스 수익 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
266,협찬 단가 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
267,구독자 성장률 계산기,크리에이터,중간,보통,쉬움,광고/제휴,12
268,휴대폰 요금제 비교 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
269,알뜰폰 요금 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
270,데이터 사용량 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
271,약정 위약금 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
272,단말기 할부원금 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
273,통신비 절약 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
274,인터넷 결합할인 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
275,로밍 요금 계산기(통신),통신/요금제,중간,보통,쉬움,통신제휴,12
276,기기변경 vs 번호이동 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
277,5G 데이터 요금 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
278,와이파이 속도 측정,통신/요금제,중간,보통,쉬움,통신제휴,12
279,넷플릭스 요금 분담 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
280,OTT 구독료 분담 계산기,통신/요금제,중간,보통,쉬움,통신제휴,12
281,통신요금 미환급금 조회,통신/요금제,중간,보통,쉬움,통신제휴,12
282,부가가치세 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
283,종합소득세 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
284,간이과세 일반과세 비교 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
285,손익분기점 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
286,마진율 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
287,원가 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
288,시급 인건비 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
289,프랜차이즈 수익 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
290,스마트스토어 수수료 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
291,쿠팡 수수료 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
292,배민 수수료 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
293,유튜브 수익 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
294,애드센스 수익 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
295,블로그 광고단가 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
296,ROI 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
297,환율 마진 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
298,월 매출 목표 계산기,투자/사업,중간,보통,보통,광고/금융제휴,12
299,신발 사이즈 변환기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
300,옷 사이즈 변환기(한미일),패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
301,반지 호수 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
302,퍼스널컬러 진단,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
303,화장품 유통기한 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
304,향수 지속시간 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
305,염색약 비율 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
306,BMI 옷사이즈 추천,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
307,체형 진단기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
308,모자 사이즈 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
309,브라 사이즈 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
310,키높이 비율 계산기,패션/뷰티,중간,보통,쉬움,쇼핑제휴,12
311,평점 계산기(GPA),학업/교육,중간,보통,쉬움,교육제휴,12
312,백분위 환산 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
313,내신 등급 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
314,수능 등급컷 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
315,대학 환산점수 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
316,공부 시간 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
317,독서 속도 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
318,타자 속도 측정기,학업/교육,중간,보통,쉬움,교육제휴,12
319,영어 단어 암기 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
320,토익 환산 점수 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
321,학자금 대출 상환 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
322,출석 일수 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
323,시험 점수 평균 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
324,등수 백분율 계산기,학업/교육,중간,보통,쉬움,교육제휴,12
325,가챠 천장 계산기,게임/취미,중간,보통,쉬움,광고,11
326,강화 확률 계산기,게임/취미,중간,보통,쉬움,광고,11
327,확률 뽑기 계산기,게임/취미,중간,보통,쉬움,광고,11
328,경험치 계산기,게임/취미,중간,보통,쉬움,광고,11
329,데미지 계산기,게임/취미,중간,보통,쉬움,광고,11
330,스탯 계산기,게임/취미,중간,보통,쉬움,광고,11
331,인게임 환율 계산기,게임/취미,중간,보통,쉬움,광고,11
332,주사위 확률 계산기,게임/취미,중간,보통,쉬움,광고,11
333,로또 당첨 확률 계산기,게임/취미,중간,보통,쉬움,광고,11
334,복권 기댓값 계산기,게임/취미,중간,보통,쉬움,광고,11
335,포인트 적립 계산기,게임/취미,중간,보통,쉬움,광고,11
336,레벨업 시간 계산기,게임/취미,중간,보통,쉬움,광고,11
337,조의금 계산기,결혼/경조사,중간,보통,쉬움,광고,11
338,축의금 액수 추천기,결혼/경조사,중간,보통,쉬움,광고,11
339,결혼 비용 계산기,결혼/경조사,중간,보통,쉬움,광고,11
340,예단 예물 비용 계산기,결혼/경조사,중간,보통,쉬움,광고,11
341,돌잔치 비용 계산기,결혼/경조사,중간,보통,쉬움,광고,11
342,결혼 준비 디데이,결혼/경조사,중간,보통,쉬움,광고,11
343,신혼집 자금 계산기,결혼/경조사,중간,보통,쉬움,광고,11
344,혼수 비용 계산기,결혼/경조사,중간,보통,쉬움,광고,11
345,청첩장 모바일 제작,결혼/경조사,중간,보통,쉬움,광고,11
346,결혼기념일 계산기,결혼/경조사,중간,보통,쉬움,광고,11
347,예식장 견적 계산기,결혼/경조사,중간,보통,쉬움,광고,11
348,월급 실수령액 계산기,급여/노무,높음,높음,보통,광고/채용제휴,11
349,나이 계산기,날짜/시간,높음,높음,쉬움,광고,11
350,디데이 계산기,날짜/시간,높음,높음,쉬움,광고,11
351,날짜 계산기,날짜/시간,높음,높음,쉬움,광고,11
